citycode,cityname,cityname_kn
0110000,札幌市,さっぽろし
0120200,函館市,はこだてし
0120300,小樽市,おたるし
0120400,旭川市,あさひかわし
0120500,室蘭市,むろらんし
0120601,釧路市釧路,くしろしくしろ
0120602,釧路市阿寒,くしろしあかん
0120603,釧路市音別,くしろしおんべつ
0120700,帯広市,おびひろし
0120801,北見市北見,きたみしきたみ
0120802,北見市常呂,きたみしところ
0120900,夕張市,ゆうばりし
0121000,岩見沢市,いわみざわし
0121100,網走市,あばしりし
0121200,留萌市,るもいし
0121300,苫小牧市,とまこまいし
0121400,稚内市,わっかないし
0121500,美唄市,びばいし
0121600,芦別市,あしべつし
0121700,江別市,えべつし
0121800,赤平市,あかびらし
0121900,紋別市,もんべつし
0122000,士別市,しべつし
0122100,名寄市,なよろし
0122200,三笠市,みかさし
0122300,根室市,ねむろし
0122400,千歳市,ちとせし
0122500,滝川市,たきかわし
0122600,砂川市,すながわし
0122700,歌志内市,うたしないし
0122800,深川市,ふかがわし
0122900,富良野市,ふらのし
0123000,登別市,のぼりべつし
0123100,恵庭市,えにわし
0123301,伊達市伊達,だてしだて
0123302,伊達市大滝,だてしおおたき
0123400,北広島市,きたひろしまし
0123500,石狩市,いしかりし
0123600,北斗市,ほくとし
0130300,当別町,とうべつちょう
0130400,新篠津村,しんしのつむら
0133100,松前町,まつまえちょう
0133200,福島町,ふくしまちょう
0133300,知内町,しりうちちょう
0133400,木古内町,きこないちょう
0133700,七飯町,ななえちょう
0134300,鹿部町,しかべちょう
0134500,森町,もりまち
0134601,八雲町八雲,やくもちょうやくも
0134602,八雲町熊石,やくもちょうくまいし
0134700,長万部町,おしゃまんべちょう
0136100,江差町,えさしちょう
0136200,上ノ国町,かみのくにちょう
0136300,厚沢部町,あっさぶちょう
0136400,乙部町,おとべちょう
0136700,奥尻町,おくしりちょう
0137000,今金町,いまかねちょう
0137100,せたな町,せたなちょう
0139100,島牧村,しままきむら
0139200,寿都町,すっつちょう
0139300,黒松内町,くろまつないちょう
0139400,蘭越町,らんこしちょう
0139500,ニセコ町,にせこちょう
0139600,真狩村,まっかりむら
0139700,留寿都村,るすつむら
0139800,喜茂別町,きもべつちょう
0139900,京極町,きょうごくちょう
0140000,倶知安町,くっちゃんちょう
0140100,共和町,きょうわちょう
0140200,岩内町,いわないちょう
0140300,泊村,とまりむら
0140400,神恵内村,かもえないむら
0140500,積丹町,しゃこたんちょう
0140600,古平町,ふるびらちょう
0140700,仁木町,にきちょう
0140800,余市町,よいちちょう
0140900,赤井川村,あかいがわむら
0142300,南幌町,なんぽろちょう
0142400,奈井江町,ないえちょう
0142500,上砂川町,かみすながわちょう
0142700,由仁町,ゆにちょう
0142800,長沼町,ながぬまちょう
0142900,栗山町,くりやまちょう
0143000,月形町,つきがたちょう
0143100,浦臼町,うらうすちょう
0143200,新十津川町,しんとつかわちょう
0143300,妹背牛町,もせうしちょう
0143400,秩父別町,ちっぷべつちょう
0143600,雨竜町,うりゅうちょう
0143700,北竜町,ほくりゅうちょう
0143800,沼田町,ぬまたちょう
0145200,鷹栖町,たかすちょう
0145300,東神楽町,ひがしかぐらちょう
0145400,当麻町,とうまちょう
0145500,比布町,ぴっぷちょう
0145600,愛別町,あいべつちょう
0145700,上川町,かみかわちょう
0145800,東川町,ひがしかわちょう
0145900,美瑛町,びえいちょう
0146000,上富良野町,かみふらのちょう
0146100,中富良野町,なかふらのちょう
0146200,南富良野町,みなみふらのちょう
0146300,占冠村,しむかっぷむら
0146400,和寒町,わっさむちょう
0146500,剣淵町,けんぶちちょう
0146800,下川町,しもかわちょう
0146900,美深町,びふかちょう
0147000,音威子府村,おといねっぷむら
0147100,中川町,なかがわちょう
0147200,幌加内町,ほろかないちょう
0148100,増毛町,ましけちょう
0148200,小平町,おびらちょう
0148300,苫前町,とままえちょう
0148401,羽幌町,はぼろちょう
0148402,天売焼尻,てうりやぎしり
0148500,初山別村,しょさんべつむら
0148600,遠別町,えんべつちょう
0148700,天塩町,てしおちょう
0151100,猿払村,さるふつむら
0151200,浜頓別町,はまとんべつちょう
0151300,中頓別町,なかとんべつちょう
0151400,枝幸町,えさしちょう
0151600,豊富町,とよとみちょう
0151700,礼文町,れぶんちょう
0151800,利尻町,りしりちょう
0151900,利尻富士町,りしりふじちょう
0152000,幌延町,ほろのべちょう
0154300,美幌町,びほろちょう
0154400,津別町,つべつちょう
0154500,斜里町,しゃりちょう
0154600,清里町,きよさとちょう
0154700,小清水町,こしみずちょう
0154900,訓子府町,くんねっぷちょう
0155000,置戸町,おけとちょう
0155200,佐呂間町,さろまちょう
0155500,遠軽町,えんがるちょう
0155900,湧別町,ゆうべつちょう
0156000,滝上町,たきのうえちょう
0156100,興部町,おこっぺちょう
0156200,西興部村,にしおこっぺむら
0156300,雄武町,おうむちょう
0156400,大空町,おおぞらちょう
0157100,豊浦町,とようらちょう
0157500,壮瞥町,そうべつちょう
0157800,白老町,しらおいちょう
0158100,厚真町,あつまちょう
0158400,洞爺湖町,とうやこちょう
0158500,安平町,あびらちょう
0158600,むかわ町,むかわちょう
0160101,日高町日高,ひだかちょうひだか
0160102,日高町門別,ひだかちょうもんべつ
0160200,平取町,びらとりちょう
0160400,新冠町,にいかっぷちょう
0160700,浦河町,うらかわちょう
0160800,様似町,さまにちょう
0160900,えりも町,えりもちょう
0161000,新ひだか町,しんひだかちょう
0163100,音更町,おとふけちょう
0163200,士幌町,しほろちょう
0163300,上士幌町,かみしほろちょう
0163400,鹿追町,しかおいちょう
0163500,新得町,しんとくちょう
0163600,清水町,しみずちょう
0163700,芽室町,めむろちょう
0163800,中札内村,なかさつないむら
0163900,更別村,さらべつむら
0164100,大樹町,たいきちょう
0164200,広尾町,ひろおちょう
0164300,幕別町,まくべつちょう
0164400,池田町,いけだちょう
0164500,豊頃町,とよころちょう
0164600,本別町,ほんべつちょう
0164700,足寄町,あしょろちょう
0164800,陸別町,りくべつちょう
0164900,浦幌町,うらほろちょう
0166100,釧路町,くしろちょう
0166200,厚岸町,あっけしちょう
0166300,浜中町,はまなかちょう
0166400,標茶町,しべちゃちょう
0166500,弟子屈町,てしかがちょう
0166700,鶴居村,つるいむら
0166800,白糠町,しらぬかちょう
0169100,別海町,べつかいちょう
0169200,中標津町,なかしべつちょう
0169300,標津町,しべつちょう
0169400,羅臼町,らうすちょう
0220100,青森市,あおもりし
0220200,弘前市,ひろさきし
0220300,八戸市,はちのへし
0220400,黒石市,くろいしし
0220500,五所川原市,ごしょがわらし
0220600,十和田市,とわだし
0220700,三沢市,みさわし
0220800,むつ市,むつし
0220900,つがる市,つがるし
0221000,平川市,ひらかわし
0230100,平内町,ひらないまち
0230300,今別町,いまべつまち
0230400,蓬田村,よもぎたむら
0230700,外ヶ浜町,そとがはままち
0232100,鰺ヶ沢町,あじがさわまち
0232300,深浦町,ふかうらまち
0234300,西目屋村,にしめやむら
0236100,藤崎町,ふじさきまち
0236200,大鰐町,おおわにまち
0236700,田舎館村,いなかだてむら
0238100,板柳町,いたやなぎまち
0238400,鶴田町,つるたまち
0238700,中泊町,なかどまりまち
0240100,野辺地町,のへじまち
0240200,七戸町,しちのへまち
0240500,六戸町,ろくのへまち
0240600,横浜町,よこはままち
0240800,東北町,とうほくまち
0241100,六ヶ所村,ろっかしょむら
0241200,おいらせ町,おいらせちょう
0242300,大間町,おおままち
0242400,東通村,ひがしどおりむら
0242500,風間浦村,かざまうらむら
0242600,佐井村,さいむら
0244100,三戸町,さんのへまち
0244200,五戸町,ごのへまち
0244300,田子町,たっこまち
0244500,南部町,なんぶちょう
0244600,階上町,はしかみちょう
0245000,新郷村,しんごうむら
0320100,盛岡市,もりおかし
0320200,宮古市,みやこし
0320300,大船渡市,おおふなとし
0320500,花巻市,はなまきし
0320600,北上市,きたかみし
0320700,久慈市,くじし
0320800,遠野市,とおのし
0320900,一関市,いちのせきし
0321000,陸前高田市,りくぜんたかたし
0321100,釜石市,かまいしし
0321300,二戸市,にのへし
0321400,八幡平市,はちまんたいし
0321500,奥州市,おうしゅうし
0321600,滝沢市,たきざわし
0330100,雫石町,しずくいしちょう
0330200,葛巻町,くずまきまち
0330300,岩手町,いわてまち
0332100,紫波町,しわちょう
0332200,矢巾町,やはばちょう
0336600,西和賀町,にしわがまち
0338100,金ケ崎町,かねがさきちょう
0340200,平泉町,ひらいずみちょう
0344100,住田町,すみたちょう
0346100,大槌町,おおつちちょう
0348200,山田町,やまだまち
0348300,岩泉町,いわいずみちょう
0348400,田野畑村,たのはたむら
0348500,普代村,ふだいむら
0350100,軽米町,かるまいまち
0350300,野田村,のだむら
0350600,九戸村,くのへむら
0350700,洋野町,ひろのちょう
0352400,一戸町,いちのへまち
0410001,仙台市東部,せんだいしとうぶ
